Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
4,12,1,3,0,1,1,13,14,12,12,0,0,0,0,0,0,37,0,0,4,4,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74
1,12,1,12,1,1,1,3,14,3,6,0,0,0,1,0,0,24,0,0,8,12,7,12.71428571,0,0,8,12,7,12.71428571,0,12.7,3.7,-1.7
1,1,2,12,1,1,1,4,1,3,11,1,0,0,1,0,0,19,0,0,7,9,7,13.42222222,0,0,8,11,7,12.18888889,0,15.5,2.8,-4.06
1,1,3,15,1,1,1,3,1,6,4,1,0,0,1,0,1,19,0,0,6,7,6,14,0,0,6,8,5,12.2,0,13.9,-0.3,0.79
1,8,3,13,1,1,1,13,14,10,5,1,0,0,1,0,1,19,0,0,7,8,7,12.14285714,0,0,8,8,8,13.375,0,16.2,0.3,-0.92
1,8,1,9,1,1,1,22,28,10,10,1,0,1,1,0,1,18,0,0,5,5,5,12.8,0,0,5,5,5,13,0,11.1,0.6,2.02
1,1,4,12,1,1,1,13,28,8,8,1,0,0,1,0,1,18,0,0,7,7,7,14.57285714,0,0,8,9,8,14.95555556,0,12.4,0.5,1.79
1,1,4,9,1,1,1,1,14,5,6,0,0,0,1,0,0,18,0,0,5,9,4,11.25,0,0,5,6,4,11,0,8.9,1.4,3.51
1,8,5,9,1,1,1,1,28,5,6,1,0,0,1,0,1,19,0,0,5,12,2,10,0,0,5,11,4,11.75,0,11.1,0.6,2.02
1,1,1,8,1,1,1,25,14,3,10,1,0,0,1,0,0,18,0,0,6,8,5,14.4,0,0,6,11,4,14.6,0,8.9,1.4,3.51
1,1,4,12,1,1,1,1,10,4,7,1,0,0,1,0,0,20,0,0,7,7,7,12.98285714,0,0,8,8,8,14.4625,0,12.4,0.5,1.79
1,8,1,6,1,1,1,3,2,3,4,1,0,0,1,0,0,20,0,0,6,14,6,15.75,0,0,6,8,6,13,0,15.5,2.8,-4.06
1,1,1,6,1,1,1,2,2,7,7,0,0,0,1,0,0,18,0,0,6,11,5,12.28571429,0,0,6,19,3,14,1,12.4,0.5,1.79
1,7,1,12,1,1,1,22,27,10,10,1,0,0,1,0,0,20,0,0,7,7,6,13.755,0,0,8,9,7,13.57142857,0,12.4,0.5,1.79
1,8,1,14,1,1,1,1,1,4,4,1,0,0,1,0,1,18,0,0,6,7,6,13.83333333,0,0,6,11,6,13.5,0,8.9,1.4,3.51
1,1,6,12,1,1,1,1,27,8,8,1,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,12.7,3.7,-1.7
1,1,4,12,1,1,1,23,1,6,7,1,0,0,1,0,0,18,0,0,7,9,7,14.71111111,0,0,8,9,8,14.62777778,0,15.5,2.8,-4.06
1,17,1,6,1,16,1,1,14,5,9,1,0,0,1,0,0,20,0,7,11,13,11,14.61538462,0,4,9,11,9,13.7,0,8.9,1.4,3.51
1,1,1,12,1,1,1,3,3,2,6,0,0,0,1,0,0,18,0,0,7,7,7,13.67714286,0,0,8,9,8,14.53333333,0,11.1,0.6,2.02
1,7,2,6,1,1,1,22,27,10,10,1,0,0,1,0,1,19,0,0,5,8,5,13.16666667,2,0,5,5,5,12.8,0,9.4,-0.8,-3.12
1,8,6,10,1,1,1,3,3,2,3,1,0,0,1,0,0,19,0,0,6,11,5,10.8,0,0,6,12,5,11.33333333,0,15.5,2.8,-4.06
1,8,1,8,1,1,1,13,7,6,4,0,0,0,1,0,0,19,0,0,5,8,3,12,0,0,5,7,5,12.83333333,0,7.6,2.6,0.32
1,1,1,12,1,1,1,3,1,3,4,0,0,0,1,0,0,18,0,0,7,8,6,13.95833333,0,0,8,8,8,14.71875,0,11.1,0.6,2.02
1,8,1,16,1,1,1,23,14,5,11,1,0,0,1,0,0,19,0,0,6,9,4,13,0,0,6,9,4,12.25,0,12.7,3.7,-1.7
1,1,2,2,1,1,1,23,14,10,10,1,0,0,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02
1,1,1,2,1,1,1,13,27,10,8,1,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,0.5,1.79
1,1,6,12,1,1,1,1,1,5,10,1,0,0,1,0,1,18,0,0,8,8,7,14,0,0,8,8,7,14,0,12.7,3.7,-1.7
1,1,4,15,1,1,1,3,14,3,4,1,1,0,1,0,0,18,0,0,6,10,6,12.57142857,0,0,6,11,6,12.57142857,0,10.8,1.4,1.74
1,1,4,15,1,1,1,26,1,5,4,1,0,0,1,0,0,19,0,0,6,6,4,12,0,0,6,11,3,11.33333333,0,11.1,0.6,2.02
1,12,1,3,0,1,1,22,27,10,7,0,0,0,1,0,1,35,0,2,8,8,8,13.625,0,1,7,7,7,14,0,8.9,1.4,3.51
1,8,6,9,1,1,1,22,27,10,10,1,0,0,1,0,0,19,0,0,5,7,4,12.5,0,0,5,8,4,10,1,7.6,2.6,0.32
1,4,1,16,1,3,1,22,27,10,10,0,0,0,1,0,0,28,0,14,15,25,14,12.42857143,1,8,14,22,11,11.90909091,0,7.6,2.6,0.32
1,14,1,12,1,1,1,23,3,6,3,0,0,0,1,0,0,21,0,3,7,8,7,13.3875,0,2,8,8,8,15.9,0,13.9,-0.3,0.79
1,9,2,12,1,1,1,13,1,6,6,1,0,0,1,0,1,19,0,0,7,8,6,12.64833333,0,0,8,9,8,12.20555556,0,11.1,0.6,2.02
1,3,2,10,1,1,1,25,28,3,10,1,0,0,1,0,0,19,0,0,6,6,6,14,0,0,6,6,6,13.33333333,0,8.9,1.4,3.51
1,1,1,6,1,1,1,3,4,3,3,0,0,0,1,0,0,18,0,0,5,12,5,12.8,2,0,5,10,5,11.85714286,1,9.4,-0.8,-3.12
1,1,1,11,1,1,1,10,1,5,5,1,0,0,1,0,0,18,0,0,6,8,6,11.33333333,0,0,6,11,6,10.83333333,0,7.6,2.6,0.32
1,1,2,12,1,1,1,3,3,3,3,1,0,0,0,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,12.7,3.7,-1.7
1,1,1,14,1,1,1,1,1,10,11,1,0,0,1,0,1,20,0,0,6,6,6,14.16666667,0,0,6,9,6,13,0,8.9,1.4,3.51
1,1,1,15,1,1,1,23,14,10,10,1,0,0,1,0,0,18,0,0,6,6,6,12.83333333,0,0,6,6,6,13.83333333,0,8.9,1.4,3.51
1,1,1,16,1,1,1,23,28,10,10,0,0,1,0,0,0,19,0,0,7,11,4,12,0,0,7,9,6,11.83333333,0,16.2,0.3,-0.92
1,1,3,15,1,1,1,1,14,10,10,1,0,0,1,0,1,20,0,0,6,6,6,13,0,0,6,7,6,13.14285714,0,12.4,0.5,1.79
1,8,5,12,1,1,1,13,1,10,5,1,0,0,1,0,0,18,0,0,7,8,6,13.39,0,0,8,10,7,12.75714286,0,11.1,0.6,2.02
1,8,4,14,1,1,1,1,27,8,8,1,0,0,0,0,0,18,0,0,6,6,6,12.33333333,0,0,6,8,5,13.6,0,8.9,1.4,3.51
1,1,1,5,1,1,1,3,3,4,4,0,0,0,1,0,1,21,0,1,6,8,6,12.57142857,1,0,6,8,6,11.625,0,13.9,-0.3,0.79
1,3,5,11,1,1,1,1,27,10,8,1,0,0,1,0,1,19,0,0,6,6,6,12.33333333,0,0,6,6,6,12.83333333,0,12.4,0.5,1.79
1,8,2,16,1,1,1,1,1,4,10,1,0,0,1,0,0,19,0,0,6,8,5,13,0,0,6,8,4,10.75,0,9.4,-0.8,-3.12
1,1,1,6,1,1,1,1,1,10,8,0,0,0,1,0,0,19,0,0,5,7,3,12.33333333,0,0,5,7,4,10.25,0,7.6,2.6,0.32
1,1,4,15,1,1,1,22,27,1,12,1,0,0,1,0,0,18,0,0,6,6,6,13.16666667,0,0,6,8,5,14.2,0,10.8,1.4,1.74
1,1,1,9,1,1,1,1,14,4,4,0,0,0,1,0,1,18,0,0,5,7,5,13.33333333,0,0,5,6,5,13.6,0,12.7,3.7,-1.7
1,1,2,6,1,1,1,23,27,6,8,1,0,0,1,0,0,18,0,0,5,9,4,13,0,0,5,8,5,13.14285714,0,10.8,1.4,1.74
2,12,1,13,1,1,1,22,27,10,7,0,0,0,1,0,0,31,0,0,7,21,5,10.9,3,0,8,21,3,11.7,1,12.7,3.7,-1.7
1,13,1,9,1,1,1,3,28,3,6,1,0,0,1,0,0,19,0,0,5,8,2,11.5,0,0,5,10,3,10.85714286,0,10.8,1.4,1.74
1,7,1,6,1,1,1,22,27,10,10,1,0,0,1,0,1,20,0,0,6,7,6,15.85714286,0,0,6,6,6,16,0,13.9,-0.3,0.79
1,8,1,6,1,1,1,23,14,1,12,0,0,0,1,0,1,19,0,0,5,5,5,12.6,0,0,5,9,3,13,0,7.6,2.6,0.32
1,8,1,10,1,1,1,23,28,10,7,0,0,0,1,0,1,19,0,0,6,8,6,14,0,0,6,7,6,14.57142857,0,16.2,0.3,-0.92
5,4,1,8,1,3,1,13,28,10,7,0,0,0,0,0,0,27,0,1,5,8,3,14.66666667,2,0,5,7,2,13,2,10.8,1.4,1.74
1,8,2,15,1,1,1,13,14,10,7,1,0,0,1,0,1,18,0,0,6,6,6,13.66666667,0,0,6,6,6,14,0,8.9,1.4,3.51
1,1,1,3,0,1,1,19,24,1,1,0,0,0,1,0,0,32,0,0,6,0,0,0,0,0,6,0,0,0,0,7.6,2.6,0.32
1,1,4,12,1,1,1,23,14,9,8,1,0,0,1,0,0,18,0,0,8,8,7,12.62857143,0,0,8,8,7,12.62857143,0,12.7,3.7,-1.7
1,1,3,12,1,1,1,13,27,10,10,1,0,0,1,0,1,19,0,0,8,8,7,14.23285714,0,0,8,8,7,14.23285714,0,10.8,1.4,1.74
1,1,2,15,1,1,1,13,14,6,7,0,0,0,1,0,0,19,0,0,6,6,6,15,0,0,6,7,6,14,0,15.5,2.8,-4.06
1,8,2,11,1,1,1,10,27,10,10,1,0,0,1,0,0,18,0,0,6,15,2,10,0,0,6,12,0,0,0,10.8,1.4,1.74
1,8,3,14,1,1,1,13,1,5,5,1,0,0,1,0,1,18,0,0,6,11,4,12.25,0,0,6,10,4,11,0,12.7,3.7,-1.7
1,12,1,15,1,12,1,13,14,26,35,0,0,1,0,0,1,24,0,0,6,6,6,13.5,0,0,6,6,6,13,0,11.1,0.6,2.02
1,8,2,10,1,1,1,23,1,8,8,1,0,0,1,0,1,19,0,0,6,8,5,12.2,0,0,6,7,6,11.5,0,9.4,-0.8,-3.12
1,8,2,11,1,1,1,13,14,10,8,1,0,1,1,0,0,21,0,0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02
