Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
4,12,1,3,0,1,1,13,14,12,12,0,0,0,0,0,0,37,0,0,4,4,0,0,0,0,5,10,0,0,0,10.8,1.4,1.74
1,12,1,12,1,1,1,3,14,3,6,0,0,0,1,0,0,24,0,0,8,12,7,12.71428571,0,0,8,12,7,12.71428571,0,12.7,3.7,-1.7
1,1,2,12,1,1,1,4,1,3,11,1,0,0,1,0,0,19,0,0,7,9,7,13.42222222,0,0,8,11,7,12.18888889,0,15.5,2.8,-4.06
1,1,3,15,1,1,1,3,1,6,4,1,0,0,1,0,1,19,0,0,6,7,6,14,0,0,6,8,5,12.2,0,13.9,-0.3,0.79
1,8,3,13,1,1,1,13,14,10,5,1,0,0,1,0,1,19,0,0,7,8,7,12.14285714,0,0,8,8,8,13.375,0,16.2,0.3,-0.92
1,8,1,9,1,1,1,22,28,10,10,1,0,1,1,0,1,18,0,0,5,5,5,12.8,0,0,5,5,5,13,0,11.1,0.6,2.02
1,1,4,12,1,1,1,13,28,8,8,1,0,0,1,0,1,18,0,0,7,7,7,14.57285714,0,0,8,9,8,14.95555556,0,12.4,0.5,1.79
1,1,4,9,1,1,1,1,14,5,6,0,0,0,1,0,0,18,0,0,5,9,4,11.25,0,0,5,6,4,11,0,8.9,1.4,3.51
1,8,5,9,1,1,1,1,28,5,6,1,0,0,1,0,1,19,0,0,5,12,2,10,0,0,5,11,4,11.75,0,11.1,0.6,2.02
1,1,1,8,1,1,1,25,14,3,10,1,0,0,1,0,0,18,0,0,6,8,5,14.4,0,0,6,11,4,14.6,0,8.9,1.4,3.51
1,1,4,12,1,1,1,1,10,4,7,1,0,0,1,0,0,20,0,0,7,7,7,12.98285714,0,0,8,8,8,14.4625,0,12.4,0.5,1.79
1,8,1,6,1,1,1,3,2,3,4,1,0,0,1,0,0,20,0,0,6,14,6,15.75,0,0,6,8,6,13,0,15.5,2.8,-4.06
1,1,1,6,1,1,1,2,2,7,7,0,0,0,1,0,0,18,0,0,6,11,5,12.28571429,0,0,6,19,3,14,1,12.4,0.5,1.79
1,7,1,12,1,1,1,22,27,10,10,1,0,0,1,0,0,20,0,0,7,7,6,13.755,0,0,8,9,7,13.57142857,0,12.4,0.5,1.79
1,8,1,14,1,1,1,1,1,4,4,1,0,0,1,0,1,18,0,0,6,7,6,13.83333333,0,0,6,11,6,13.5,0,8.9,1.4,3.51
1,1,6,12,1,1,1,1,27,8,8,1,0,0,1,0,0,19,0,0,7,0,0,0,0,0,8,0,0,0,0,12.7,3.7,-1.7
1,1,4,12,1,1,1,23,1,6,7,1,0,0,1,0,0,18,0,0,7,9,7,14.71111111,0,0,8,9,8,14.62777778,0,15.5,2.8,-4.06
1,17,1,6,1,16,1,1,14,5,9,1,0,0,1,0,0,20,0,7,11,13,11,14.61538462,0,4,9,11,9,13.7,0,8.9,1.4,3.51
1,1,1,12,1,1,1,3,3,2,6,0,0,0,1,0,0,18,0,0,7,7,7,13.67714286,0,0,8,9,8,14.53333333,0,11.1,0.6,2.02
